architecture,architect,year,city,country,continent,latitude,longitude
Villa_Savoye,Le Corbusier,1931,Poissy,France,Europe,48.92457252,2.028344771
Chapelle_Notre-Dame_du_Haut,Le Corbusier,1955,Ronchamp,France,Europe,47.7046385,6.620936017
Barcelona_Pavilion,Ludwig Mies van der Rohe,1929,Barcelona,Spain,Europe,41.37076206,2.150194984
Centre_Pompidou,"Richard Rogers, Renzo Piano",1977,Paris,France,Europe,48.86074786,2.352244998
S.C.Johnson_&_Son_Headquarters,Frank Lloyd Wright,1939,"Racine, WI",United States,North America,42.72910708,-87.79109078
Farnsworth_House,Ludwig Mies van der Rohe,1951,"Kendall County, IL",United States,North America,41.63523606,-88.53552287
Salk_Institute,Louis I. Kahn,1960,"La Jolla, CA",United States,North America,32.88762573,-117.2452891
La_Maison_de_Verre,"Pierre Chareau, Bernard Bijovet",1932,Paris,France,Europe,48.85390431,2.328422798
Couvent_Sainte-Marie_de_La_Tourette,Le Corbusier,1957,Éveux,France,Europe,45.81955408,4.62275269
TWA_Flight_Center,Eero Saarinen,1962,"New York City, NY",United States,North America,40.64590291,-73.7776757
Berliner_Philhamonie,"Hans Scharoun, Edgar Wisniewski",1882,Berlin,Germany,Europe,52.51020818,13.36945696
Guggenheim_Museum_Bilbao,Frank Gehry,1997,"Bilbo, Bizkaia",Spain,Europe,43.26885867,-2.933968887
Parc_de_la_Villette,Bernard Tschumi ,1983,"Jean Jaurès, Paris",France,Europe,48.8939829,2.390292185
The_Woodland_Cemetery,Sigurd Lewerentz,1940,"Sockenvägen, Stockholm",Sweden,Europe,59.27135651,18.10268633
Seagram_Building,"Ludwig Mies van der Rohe, Philip Johnson",1958,"New York City, NY",United States,North America,40.75845847,-73.97189919
Solomon_R.Guggenheim_Museum,Frank Lloyd Wright,1939,"New York City, NY",United States,North America,40.78318267,-73.95891696
The_Eames_House,Charles Eames，Ray Eames,1949,"Los Angeles, CA",United States,North America,34.03626738,-118.5212887
Leicester_University_Engineering_Building,"James Gowan, James Stirling",1959,Leicester,United Kingdom,Europe,52.62028545,-1.123770446
Casa_del_Fascio,Giuseppe Terragni,1936,Piazza del Popolo,Italy,Europe,45.81249979,9.085946354
Unité_d'Habitation,Le Corbusier,1952,Marseille,France,Europe,43.26157076,5.396746213
Habitat'67,Moshe Safdie,1967,"Montréal, QC",Canada,North America,45.50004214,-73.54368052
Kimbell_Art_Museum,Louis I. Kahn,1936,"Fort Worth, TX",United States,North America,32.74882134,-97.36494226
Schroderhuis,Gerrit Rietveld,1924,3583 EP Utrecht,Netherlands,Europe,52.08545343,5.147544569
Nakagin_Capsule_Tower,Kisho Kurokawa,1972,"Ginza, Chuo City, Tokyo",Japan,Asia,35.66583616,139.7635681
Postsparkasse,Otto Wagner,1905,Wien,Austria,Europe,48.21011037,16.38118244
Casa_Malaparte,Adalberto Libera,1937,Metropolitan City of Naples,Italy,Europe,40.54717339,14.25910578
Sydney_Opera_House,Jørn Utzon,1973,Sydney NSW 2000,Australia,Australia,-33.85657946,151.215286
Rudolph_Hall_(Yale_Art_and_Architecture_Building),Paul Rudolph,1963,"New Haven, CT",United States,North America,41.30895576,-72.93194388
Phillips_Exeter_Academy_Library,Louis I. Kahn,1972,"Exeter, NH",United States,North America,42.98117463,-70.95179414
AEG_Turbine_Factory,Peter Behrens,1909,Berlin,Germany,Europe,52.52815549,13.32457038
Frederick_C._Robie_House,Frank Lloyd Wright,1909,"Chicago, IL",United States,North America,41.78991377,-87.59596596
Schindler_House,Rudolph Schindler,1922,"West Hollywood, CA",United States,North America,34.08668395,-118.3721164
National_Congress_of_Brazil,Oscar Niemeyer,1826,"Poderes, Brasília",United States,North America,-15.7994538,-47.8641629
Bauhaus_Dessau,Walter Gropius,1919,Dessau-Roßlau,Germany,Europe,51.83903919,12.22729657
Hongkong_&_Shanghai_Bank_Headquarters（HSBC）,Foster and Partners,1983,"Central, Hong Kong",China,Asia,22.28042074,114.1594401
Glasgow_School_of_Art,Charles Rennie Mackintosh,1845,Glasgow G3 6RQ,United Kingdom,Europe,55.86632157,-4.263779132
Villa_Mairea,"Alvar Aalto, Aino Aalto",1939,"Pikkukoivukuja, Noormarkku",Finland,Europe,61.59749494,21.87456523
The_Assembly,Le Corbusier,1962,Chandigarh,India,Asia,30.76131547,76.80315194
Stockholm_Public_Library,Gunnar Asplund,1928,Stockholm,Sweden,Europe,59.34360769,18.05511988
