architecture,latitude,longitude,city,country,continent,architect,year
Villa_Savoye,48.92457252,2.028344771,Poissy,France,Europe,Le Corbusier,
Chapelle_Notre-Dame_du_Haut,47.7046385,6.620936017,Ronchamp,France,Europe,Le Corbusier,
Barcelona_Pavilion,41.37076206,2.150194984,Barcelona,Spain,Europe,Ludwig Mies van der Rohe,
Centre_Pompidou,48.86074786,2.352244998,Paris,France,Europe,Piano & Rogers,
S.C.Johnson_&_Son_Headquarters,42.72910708,-87.79109078,"Racine, WI",United States,North America,Frank Lloyd Wright,
Farnsworth_House,41.63523606,-88.53552287,"Kendall County, IL",United States,North America,Ludwig Mies van der Rohe,
Salk_Institute,32.88762573,-117.2452891,"La Jolla, CA",United States,North America,Louis I. Kahn,
La_Maison_de_Verre,48.85390431,2.328422798,Paris,France,Europe,"Pierre Chareau, Bernard Bijovet",
Couvent_Sainte-Marie_de_La_Tourette,45.81955408,4.62275269,Éveux,France,Europe,Le Corbusier,
TWA_Flight_Center,40.64590291,-73.7776757,"New York City, NY",United States,North America,Eero Saarinen,
Berliner_Philhamonie,52.51020818,13.36945696,Berlin,Germany,Europe,"Hans Scharoun, Edgar Wisniewski",
Guggenheim_Museum_Bilbao,43.26885867,-2.933968887,"Bilbo, Bizkaia",Spain,Europe,Frank Gehry,
Parc_de_la_Villette,48.8939829,2.390292185,"Jean Jaurès, Paris",France,Europe,Bernard Tschumi ,
The_Woodland_Cemetery,59.27135651,18.10268633,"Sockenvägen, Stockholm",Sweden,Europe,Sigurd Lewerentz,
Seagram_Building,40.75845847,-73.97189919,"New York City, NY",United States,North America,"Ludwig Mies van der Rohe, Philip Johnson",
Solomon_R.Guggenheim_Museum,40.78318267,-73.95891696,"New York City, NY",United States,North America,Frank Lloyd Wright,
The_Eames_House,34.03626738,-118.5212887,"Los Angeles, CA",United States,North America,Charles Eames，Ray Eames,
Leicester_University_Engineering_Building,52.62028545,-1.123770446,Leicester,United Kingdom,Europe,"James Gowan, James Stirling",
Casa_del_Fascio,45.81249979,9.085946354,Piazza del Popolo,Italy,Europe,Giuseppe Terragni,
Unité_d'Habitation,43.26157076,5.396746213,Marseille,France,Europe,Le Corbusier,
Habitat'67,45.50004214,-73.54368052,"Montréal, QC",Canada,North America,Moshe Safdie,
Kimbell_Art_Museum,32.74882134,-97.36494226,"Fort Worth, TX",United States,North America,Louis I. Kahn,
Schroderhuis,52.08545343,5.147544569,3583 EP Utrecht,Netherlands,Europe,Gerrit Rietveld,
Nakagin_Capsule_Tower,35.66583616,139.7635681,"Ginza, Chuo City, Tokyo",Japan,Asia,Kisho Kurokawa,
Postsparkasse,48.21011037,16.38118244,Wien,Austria,Europe,Otto Wagner,
Casa_Malaparte,40.54717339,14.25910578,Metropolitan City of Naples,Italy,Europe,Adalberto Libera,
Sydney_Opera_House,-33.85657946,151.215286,Sydney NSW 2000,Australia,Australia,Jørn Utzon,
Rudolph_Hall_(Yale_Art_and_Architecture_Building),41.30895576,-72.93194388,"New Haven, CT",United States,North America,Paul Rudolph,
Phillips_Exeter_Academy_Library,42.98117463,-70.95179414,"Exeter, NH",United States,North America,Louis I. Kahn,
AEG_Turbine_Factory,52.52815549,13.32457038,Berlin,Germany,Europe,Peter Behrens,
Frederick_C._Robie_House,41.78991377,-87.59596596,"Chicago, IL",United States,North America,Frank Lloyd Wright,
Schindler_House,34.08668395,-118.3721164,"West Hollywood, CA",United States,North America,Rudolph Schindler,
National_Congress_of_Brazil,-15.7994538,-47.8641629,"Poderes, Brasília",United States,North America,Oscar Niemeyer,
Bauhaus_Dessau,51.83903919,12.22729657,Dessau-Roßlau,Germany,Europe,Walter Gropius,
Hongkong_&_Shanghai_Bank_Headquarters（HSBC）,22.28042074,114.1594401,"Central, Hong Kong",China,Asia,Foster and Partners,
Glasgow_School_of_Art,55.86632157,-4.263779132,Glasgow G3 6RQ,United Kingdom,Europe,Charles Rennie Mackintosh,
Villa_Mairea,61.59749494,21.87456523,"Pikkukoivukuja, Noormarkku",Finland,Europe,"Alvar Aalto, Aino Aalto",
The_Assembly,30.76131547,76.80315194,Chandigarh,India,Asia,Le Corbusier,
Stockholm_Public_Library,59.34360769,18.05511988,Stockholm,Sweden,Europe,Gunnar Asplund,
Yoyogi_National_Olympic_Gymnasium,36.18290224,139.6646217,"Shibuya City, Tokyo",Japan,Asia,Kenzo Tange,
Sendai_Mediatheque,38.265559,140.8656579,"Aoba Ward, Sendai",Japan,Asia,"Toyo Ito, Mutsurō Sasaki",
Einstein_Tower,52.37906246,13.06382641,Potsdam,Germany,Europe,Erich Mendelsohn,
Lever_House,52.49756334,13.42836421,"New York City, NY",United States,North America,"Gordon Bunshaft, Natalie de Blois",
Diamond_Ranch_High_School,34.02206329,-117.7784425,"Pomona, CA",United States,North America,Thom Mayne,
Glass_House,41.14665202,-73.49682972,"New Canaan, CT",United States,North America,Philip Johnson,
Ford_Foundation_Headquarters,40.74999847,-73.97119459,"New York City, NY",United States,North America,Roche-Dinkeloo,
Olympic_Stadium_Munich,48.17331055,11.54664124,München,Germany,Europe,"Frei Otto, Günter Behnisch, Fritz Auer, Carlo Weber, Hermann Peltz",
Gehry_House,34.03543883,-118.4846767,"Santa Monica, CA",United States,North America,Frank Gehry,
lgualada_Cemetery,41.59244923,1.637269856,"Igualada, Barcelona",United States,North America,Enric Miralles,
Crown_Hall,41.83337456,-87.62726427,"Chicago, IL",United States,North America,Ludwig Mies van der Rohe,
Y_Vanna_Venturi_House,40.07087307,-75.20804729,"Philadelphia, PA",United States,North America,Robert Venturi,
Lovell_Health_House,34.1184047,-118.2877934,"Los Angeles, CA",United States,North America,Richard Neutra,
Tugendhat_House,49.20733394,16.61613786,"Černopolní, Brno",Czech Republic,Europe,Ludwig Mies van der Rohe,
Baker_Hall_MIT,42.35691474,-71.09567274,"Cambridge, MA",United States,North America,Alvar Aalto,
Casa_Luis_Barragán,19.41142948,-99.19233234,"Miguel Hidalgo district, Mexico City",Mexico,North America,Luis Barragán,
The_Beinecke_Rare_Book_&_Manuscript_Library,41.31165676,-72.92736311,"New Haven, CT",United States,North America,Gordon Bunshaft,
Museu_de_Arte_de_Sāo_Paulo,-23.56150249,-46.65594628,São Paulo,United States,North America,Lina Bo Bardi,
Brion_Family_Tomb,45.75129969,11.91374368,"Via Brioni, Altivole TV",Italy,Europe,Carlo Scarpa,
Bangladesh_National_Assembly_Building,23.76267219,90.37855964,Dhaka,Bangladesh,ASIA,"Louis Kahn, Muzharul Islam",
Neue_Staatsgalerie,48.7802175,9.186570569,Stuttgart,Germany,Europe,"James Stirling, Michael Wilford and Associates",
National_Museum_of_Roman_Art,38.91713838,-6.339441485,"Mérida, Badajoz",Spain,Europe,José Rafael Moneo Vallés,
Maison_à_Bordeaux,44.82536131,-0.5171067871,Floirac,France,Europe,Rem Koolhaas,
Casa_Milà,41.39547303,2.161902398,Barcelona,Spain,Europe,Antoni Gaudí,
Säynä¤tsalo_Town_Hall,62.14035999,25.76931878,Säynätsalo,Finland,Europe,Alvar Aalto,
Lloyd's_of_London,51.52205795,-0.08458995184,London,United Kingdom,Europe,Edward Lloyd,
Institut_du_Monde_Arabe,48.84910218,2.357145468,Paris,France,Europe,"Gilbert Lèzenes, Pierre Soria",
Parc_de_la_Villette,48.89403228,2.390270727,Paris,France,Europe,Bernard Tschumi,
Jewish_Museum_Berlin,52.50250088,13.39535034,Berlin,Germany,Europe,Daniel Libeskind,
Hillside_Terrace_ComplexI-V,35.64760248,139.7014638,"Shibuya City, Tokyo ",Japan,Asia,Fumihiko Maki,
Smith_House,41.06209893,-73.45531044,"Darien, CT",United States,North America,Richard Meier,1965-1967
New_National_Gallery,52.50709906,13.36759327,Berlin,Germany,Europe,Mies Van der Rohe,
Castelvecchio_Museum,45.43993325,10.98780696,Verona VR,Italy,Europe,Carlo Scarpa,
Piscinas_de_Marés,41.19297154,-8.707489273,Leça da Palmeira,Portugal,Europe,Álvaro Siza,
Michaelerplatz_House_(Looshaus),48.20847703,16.3667432,1010 Wien,Austria,Europe,Adolf Loos,
Rusakov_Workers'_Club,55.79139497,37.68751536,Moscow,United States,North America,Konstantin Melnikov,
Mill_Owners'Association_Building,23.03267881,72.5709023,Gujarat,India,ASIA,Le Corbusier,
